Paper Title,Authors
"Breast cancer prediction with feature-selected XGB classifier, optimized by metaheuristic algorithms","Proshenjit Sarker, Amel Ksibi, Mona M. Jamjoom, Kwonhue Choi, Abdullah-Al Nahid, Md Abdus Samad"
Metaheuristic-Driven Feature Selection for Human Activity Recognition on KU-HAR Dataset Using XGBoost Classifier,"Proshenjit Sarker, Jun-Jiat Tiang, Abdullah-Al Nahid"
Reusable Block AES: A Modified AES Algorithm for the Encryption and Decryption of Sensitive Data,"Md Irfan Hussain Sikder, Proshenjit Sarker, Md Tariq Hasan, Mohammad Ismat Kadir"
Dengue Fever Classification Integrating Bird Swarm Algorithm with Gradient Boosting Classifier Along with Feature Selection and SHAP–DiCE Based Interpretability,"Prosenjit Das, Proshenjit Sarker, Jun-Jiat Tiang, Abdullah-Al Nahid"
Breast Cancer Prediction Using Rotation Forest Algorithm Along with Finding the Influential Causes,"Prosenjit Das, Proshenjit Sarker, Jun-Jiat Tiang, Abdullah-Al Nahid"
Gallstone Classification Using Random Forest Optimized by Sand Cat Swarm Optimization Algorithm with SHAP and DiCE-Based Interpretability,"Proshenjit Sarker, Jun-Jiat Tiang, Abdullah-Al Nahid"
Dengue Fever Detection Using Swarm Intelligence and XGBoost Classifier: An Interpretable Approach with SHAP and DiCE,"Proshenjit Sarker, Jun-Jiat Tiang, Abdullah-Al Nahid"
A Smartphone Application for Multiformat Data Security Using n-bit Reusable Block AES,"Md Irfan Hussain Sikder, Proshenjit Sarker, Mohammad Ismat Kadir"
CatBoost with physics-based metaheuristics for thyroid cancer recurrence prediction,"Proshenjit Sarker, Kwonhue Choi, Abdullah-Al Nahid, Md Abdus Samad"
Metaheuristic-based gallstone classification using rotational forest explained with SHAP,"Keshika Shrestha, Proshenjit Sarker, Jun-Jiat Tiang, Abdullah-Al Nahid"
Gradient Boosting Classifier with Zebra optimization algorithm for pregnancy risk prediction,"Proshenjit Sarker, Abdullah-Al Nahid, Md Abdus Samad, Kwonhue Choi"
Feature reduction using swarm optimization and random forest classifiers for early diabetes risk prediction,"Proshenjit Sarker, Abdullah-Al Nahid, Kwonhue Choi, Md Abdus Samad"
